,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
3808,"Qualcomm Technologies, Inc MSM8937",,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,8,1,2923,77,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8937",Unknown,Embedded/IoT,1.4,,,
3809,"Qualcomm Technologies, Inc MSM8939",,0.0,2021-02-01,Unknown,Mobile/Embedded,1497.0,,1,8,1,3031,25,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8939",Unknown,Embedded/IoT,1.5,,,
3810,"Qualcomm Technologies, Inc MSM8952",,0.0,2021-01-01,Unknown,Mobile/Embedded,1517.0,,1,8,1,3114,28,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8952",Unknown,Embedded/IoT,1.52,,,
3811,"Qualcomm Technologies, Inc MSM8953",,0.0,2021-01-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2420,318,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8953",Unknown,Embedded/IoT,2.02,,,
3812,"Qualcomm Technologies, Inc MSM8956",,0.0,2021-03-01,Unknown,Mobile/Embedded,1804.0,,1,6,1,2631,45,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8956",Unknown,Embedded/IoT,1.8,,,
3813,"Qualcomm Technologies, Inc MSM8976",,0.0,2021-02-01,Unknown,Mobile/Embedded,1804.0,,1,8,1,2498,57,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8976",Unknown,Embedded/IoT,1.8,,,
3814,"Qualcomm Technologies, Inc MSM8976SG",,0.0,2021-03-01,Unknown,Mobile/Embedded,1958.0,,1,8,1,2273,10,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8976SG",Unknown,Embedded/IoT,1.96,,,
3815,"Qualcomm Technologies, Inc MSM8992",,0.0,2021-03-01,Unknown,Mobile/Embedded,1440.0,,1,6,1,3159,24,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8992",Unknown,Embedded/IoT,1.44,,,
3816,"Qualcomm Technologies, Inc MSM8994",,0.0,2021-01-01,Unknown,Mobile/Embedded,1555.0,,1,8,1,3047,11,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8994",Unknown,Embedded/IoT,1.55,,,
3817,"Qualcomm Technologies, Inc MSM8996",,0.0,2021-01-01,Unknown,Mobile/Embedded,2150.0,,1,4,1,2664,221,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8996",Unknown,Embedded/IoT,2.15,,,
3818,"Qualcomm Technologies, Inc MSM8996pro",,0.0,2021-01-01,Unknown,Mobile/Embedded,2342.0,,1,4,1,2574,130,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8996pro",Unknown,Embedded/IoT,2.34,,,
3819,"Qualcomm Technologies, Inc MSM8998",,0.0,2021-01-01,Unknown,Mobile/Embedded,2458.0,,1,8,1,1908,608,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8998",Unknown,Embedded/IoT,2.46,,,
3820,"Qualcomm Technologies, Inc QCM2150",,0.0,2021-02-01,Unknown,Mobile/Embedded,1305.0,,1,4,1,3585,4,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc QCM2150",Unknown,Embedded/IoT,1.3,,,
3821,"Qualcomm Technologies, Inc QM215",,0.0,2021-02-01,Unknown,Mobile/Embedded,1300.0,,1,4,1,3539,23,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc QM215",Unknown,Embedded/IoT,1.3,,,
3822,"Qualcomm Technologies, Inc SA8195P",,0.0,2022-05-01,Unknown,Mobile/Embedded,2496.0,,1,8,1,1077,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SA8195P",Unknown,Embedded/IoT,2.5,,,
3823,"Qualcomm Technologies, Inc SCUBAPIIOT",,0.0,2022-09-01,Unknown,Mobile/Embedded,2016.0,,1,4,1,2864,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SCUBAPIIOT",Unknown,Embedded/IoT,2.02,,,
3824,"Qualcomm Technologies, Inc SDA450",,0.0,2021-03-01,Unknown,Mobile/Embedded,1804.0,,1,8,1,2561,16,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDA450",Unknown,Embedded/IoT,1.8,,,
3825,"Qualcomm Technologies, Inc SDA660",,0.0,2021-02-01,Unknown,Mobile/Embedded,2208.0,,1,8,1,2029,12,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDA660",Unknown,Embedded/IoT,2.21,,,
3826,"Qualcomm Technologies, Inc SDM429",,0.0,2021-02-01,Unknown,Mobile/Embedded,2016.0,,1,4,1,3048,110,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM429",Unknown,Embedded/IoT,2.02,,,
3827,"Qualcomm Technologies, Inc SDM439",,0.0,2021-02-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2642,177,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM439",Unknown,Embedded/IoT,2.02,,,
3828,"Qualcomm Technologies, Inc SDM450",,0.0,2021-01-01,Unknown,Mobile/Embedded,1805.0,,1,8,1,2732,306,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM450",Unknown,Embedded/IoT,1.8,,,
3829,"Qualcomm Technologies, Inc SDM460",,0.0,2021-02-01,Unknown,Mobile/Embedded,1804.0,,1,8,1,2341,6,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM460",Unknown,Embedded/IoT,1.8,,,
3830,"Qualcomm Technologies, Inc SDM630",,0.0,2021-01-01,Unknown,Mobile/Embedded,2208.0,,1,8,1,2359,94,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM630",Unknown,Embedded/IoT,2.21,,,
3831,"Qualcomm Technologies, Inc SDM632",,0.0,2021-01-01,Unknown,Mobile/Embedded,1805.0,,1,8,1,2287,217,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM632",Unknown,Embedded/IoT,1.8,,,
3832,"Qualcomm Technologies, Inc SDM636",,0.0,2021-02-01,Unknown,Mobile/Embedded,1805.0,,1,8,1,2212,238,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM636",Unknown,Embedded/IoT,1.8,,,
3833,"Qualcomm Technologies, Inc SDM660",,0.0,2021-01-01,Unknown,Mobile/Embedded,2208.0,,1,8,1,2092,412,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM660",Unknown,Embedded/IoT,2.21,,,
3834,"Qualcomm Technologies, Inc SDM662",,0.0,2021-05-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2166,10,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM662",Unknown,Embedded/IoT,2.02,,,
3835,"Qualcomm Technologies, Inc SDM665",,0.0,2021-02-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2076,126,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc SDM665",Unknown,Embedded/IoT,2.02,,,
